name,fastpass_booth,created_at,updated_at,short_name,open_emh_morning,open_emh_evening,single_rider,time_zone,seasonal,open_very_merry,open_not_so_scary,category_code,duration,scheduled_code,what_it_is,scope_and_scale_code,when_to_go,average_wait_per_hundred,average_wait_assumes,loading_speed,probable_wait_time,special_needs,height_restriction,intense,extinct_on,opened_on,frightening,physical_considerations,handheld_captioning,video_captioning,reflective_captioning,assistive_listening,audio_description,wheelchair_transfer_code,no_service_animals,sign_language,service_animal_check,not_to_be_missed,rider_swap,ultimate_code,ultimate_task,park_entrance,relative_open,relative_close,close_at_dusk,crowd_calendar_version,match_name,crazy_threshold,fastpass_only,allow_showtimes_after_close,disconnected_fastpass_booth,arrive_before,arrive_before_fp,allow_time_restriction,relative_open_to_sunset,relative_close_to_sunset,closing_round_code,walking_time_proxy_id,flexible_duration,operator_id,operator_type,hide_app,showtime_proxy_id,sort_name,extinct_on_uncertain,opened_on_uncertain,opened_on_known,ignore_scrapes,extra_cost,climate_controlled,wet,operational_notes,masthead_circle_x,masthead_circle_y,latitude,longitude,open_early,themeparks_id,has_virtual_queue,relative_open_base,virtual_queue_only,fastpass_average_minutes_saved,fastpass_average_gone_at
Jungle Cruise,False,2009-07-13T16:14:03.000-07:00,2023-03-21T12:36:05.000-07:00,Jungle Cruise,False,False,False,Eastern Time (US & Canada),False,True,False,ride,8.0,0,Outdoor safari-themed boat-ride adventure,major_attraction,Before 10 a.m. or 2 hours before closing.,3.5,10 boats operating,Moderate,0,0,0,False,0,1971-10-01,False,False,True,False,False,True,True,may_remain_in_wheelchair,False,True,False,False,False,core,Ride.,False,0,0,0,4,JNKL-KRS,150,False,False,False,0,0,False,0,0,0,0,False,80010153,Attraction,False,0,jungle cruise,0,0,0,False,False,False,False,0,881,207,28.41797818,-81.58343932,False,796b0a25-c51e-456e-9bb8-50a324e301b3,False,0,False,30,2000-01-01T14:00:00.000Z
Let the Magic Begin,False,2010-07-07T18:52:41.000-04:00,2021-11-04T00:05:04.000-04:00,Let the Magic Begin,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_show,5.0,0,Characters and Dancing intro to the Magic Kingdom,diversion,Before park opening,0.0,0,0,0,0,0,False,0,0,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,core,View full show from location where you can see characters.,False,0,0,0,2,LT-MJK-BJN,150,False,False,False,1,3,False,0,0,0,1194,False,8336,Entertainment,False,0,let the magic begin,0,0,0,False,False,False,False,0,126,104,28.419147,-81.581205,False,3dc6e90f-de6e-4bf0-bae9-b04bc930351a,False,0,False,0,0
Liberty Square Riverboat,False,2009-07-13T19:14:03.000-04:00,2021-11-15T12:27:18.000-05:00,Liberty Sq Riverboat,False,False,False,Eastern Time (US & Canada),False,False,False,ride,16.0,0,Outdoor scenic boat ride,major_attraction,Anytime,0.0,0,0,15,0,0,False,0,1971-10-02,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,True,False,False,False,core,Ride.,False,30,0,0,2,LBRT-SKR-RFRBT,150,False,False,False,0,0,False,0,0,0,0,False,80010160,Attraction,False,0,liberty square riverboat,0,0,0,False,False,False,False,0,1276,125,28.41955634,-81.58279827,False,15700490-3749-45cf-a737-3cba56e13704,False,0,False,0,0
Mad Tea Party,False,2009-07-13T19:14:04.000-04:00,2023-01-15T22:03:40.000-05:00,Mad Tea Party,True,True,False,Eastern Time (US & Canada),False,True,True,ride,1.5,0,Midway-type spinning ride,minor_attraction,Before 11 a.m. or after 5 p.m.,7.5,0,Slow,0,0,0,False,0,1971-10-01,False,False,False,False,False,False,False,must_transfer_from_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,MT-T-PRT,150,False,False,False,0,0,False,0,0,0,0,False,80010162,Attraction,False,0,mad tea party,0,0,0,False,False,False,False,0,1116,69,28.42002304,-81.57982489,False,0aae716c-af13-4439-b638-d75fb1649df3,False,0,False,11,2000-01-01T21:00:00.000Z
The Magic Carpets of Aladdin,False,2009-07-13T19:14:06.000-04:00,2023-01-15T22:03:41.000-05:00,Magic Carpets,False,True,False,Eastern Time (US & Canada),False,True,True,ride,1.5,0,Elaborate midway ride,minor_attraction,Before 10 a.m. or in the hour before park closing.,16.0,Normal staffing,Slow,0,0,0,False,0,2001-05-23,False,False,False,False,False,False,False,must_transfer_to_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,MJK-KRPTS-ALTN,150,False,False,False,0,0,False,0,0,0,0,False,80010210,Attraction,False,0,magic carpets of aladdin,0,0,0,False,False,False,False,0,992,150,28.41843,-81.583472,False,96455de6-f4f1-403c-9391-bf8396979149,False,0,False,18,2000-01-01T21:00:00.000Z
Main Street Philharmonic,False,2010-07-07T18:51:46.000-04:00,2021-11-04T00:05:06.000-04:00,Main St Philharmonic,False,False,False,Eastern Time (US & Canada),False,False,False,walkthrough,20.0,0,Magic Kingdom's very own band,diversion,0,0.0,0,0,0,0,0,False,0,2000-06-20,False,False,False,False,False,False,False,0,False,False,False,False,False,bonus,View for 5 minutes.,False,0,0,0,4,MN-STRT-FLHRMNK,150,False,False,False,2,2,False,0,0,0,0,False,8066,Entertainment,True,0,main street philharmonic,0,0,0,True,False,False,False,0,447,138,28.417527,-81.581208,False,f9021a61-d829-4519-92b4-7d44a5aa73ab,False,0,False,0,0
Main Street Trolley Show,False,2010-07-07T18:58:57.000-04:00,2021-11-04T00:05:05.000-04:00,Main St Trolley Show,False,False,False,Eastern Time (US & Canada),False,False,False,scheduled_show,5.0,0,Singing and Dancing Show,0,0,0.0,0,0,0,0,0,False,0,2004-12-01,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,bonus,View for 5 minutes.,False,0,0,0,4,MN-STRT-TRL-X,150,False,False,False,0,0,False,0,0,0,0,0,8067,Entertainment,True,0,main street trolley show,0,0,0,False,False,False,False,0,0,0,28.417527,-81.581208,False,f7541186-367b-4d86-b578-bc4002fd4145,False,0,False,0,0
The Many Adventures of Winnie the Pooh,False,2009-07-13T16:14:06.000-07:00,2023-01-15T19:03:41.000-08:00,Winnie the Pooh,True,True,False,Eastern Time (US & Canada),False,True,True,ride,4.0,0,Indoor track ride,minor_attraction,"Before 10 a.m., in the 2 hours before closing.",4.0,0,Moderate,0,0,0,False,0,1999-06-05,False,False,True,False,False,False,False,must_transfer_to_wheelchair,False,False,False,False,False,core,Ride.,False,0,0,0,4,MN-ATFNTRS-WN-P,150,False,False,False,0,0,False,0,0,0,0,False,80010213,Attraction,False,0,many adventures of winnie pooh,0,0,0,False,False,True,False,0,1018,334,28.420212,-81.580266,False,0d94ad60-72f0-4551-83a6-ebaecdd89737,False,0,False,15,2000-01-01T18:00:00.000Z
Meet Ariel at Her Grotto,False,2009-07-13T16:14:03.000-07:00,2023-01-26T12:27:25.000-08:00,Ariel's Grotto,False,False,False,Eastern Time (US & Canada),False,True,True,character_greeting,3.0,0,Character greeting venue,minor_attraction,Before 11 a.m. or after 9 p.m.,0.0,0,0,0,0,0,False,0,2012-12-06,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,core,Photo and autograph with 1 character.,False,0,30,0,4,MT-ARL-AT-HR-KRT,150,False,False,False,0,0,False,0,0,0,0,False,16874126,Entertainment,False,0,meet ariel at her grotto,0,0,0,False,False,True,False,0,594,225,28.42089328,-81.57961314,False,012a211b-4c91-451c-8a0e-5e3ab398eda8,False,0,False,0,0
OLD Meet Cinderella and a Visiting Princess at Princess Fairytale Hall,False,2012-06-05T11:51:43.000-04:00,2022-10-19T15:51:27.000-04:00,Princess Hall: Cinderella,False,False,False,Eastern Time (US & Canada),False,True,True,character_greeting,10.0,0,Princess Meet-and-Greet,minor_attraction,"Before 10:30 a.m., during parades, or in the evening just before the park closes.",0.0,0,0,0,0,0,False,2016-11-24,2013-09-18,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,core,Photo and autograph with 1 character here or from Rapunzel queue as core. Other queue counts as a bonus.,False,0,30,0,4,OLT-MT-SNTRL-FSTNK-PRNSS-AT-PRNSS-FRTL-HL,150,False,False,False,0,0,False,0,0,0,0,False,17505974,Entertainment,False,0,old meet cinderella and a visiting princess at princess fairytale hall,0,0,0,False,False,False,False,0,0,0,28.420012,-81.58094,False,0,False,0,False,0,0
Meet Daring Disney Pals as Circus Stars at Pete's Silly Side Show,False,2012-10-02T07:57:00.000-04:00,2021-11-04T00:05:05.000-04:00,Pete's: Goofy/Donald,False,False,False,Eastern Time (US & Canada),False,False,False,character_greeting,7.0,0,Character greeting area,minor_attraction,Before 11:30 a.m. or during the last 2 hours before closing.,0.0,0,0,25 minutes,0,0,False,0,2012-10-04,False,False,False,False,False,False,False,may_remain_in_wheelchair,False,False,False,False,False,core,Photo and autograph with 1 character here or at Minnie/Daisy queue as core. Other queue counts as a bonus.,False,0,0,0,4,MT-TRNK-TSN-PLS-AS-SRKS-STRS-AT-PTS-SL-ST-X,150,False,False,False,0,0,False,0,0,0,0,False,387133,Entertainment,True,0,meet daring disney pals as circus stars at petes silly side show,0,0,0,False,False,True,False,0,708,130,28.421282,-81.578932,False,166f2985-7b27-4eff-a8b3-29c3448ba198,False,0,False,0,0
